Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9689686
,CISS.D.U2.Z0Z.4F.EC.SS_BM.CON,CISS.D.U2.Z0Z.4F.EC.SS_CI.IDX,CISS.D.U2.Z0Z.4F.EC.SS_CO.CON,CISS.D.U2.Z0Z.4F.EC.SS_EM.CON,CISS.D.U2.Z0Z.4F.EC.SS_FI.CON,CISS.D.U2.Z0Z.4F.EC.SS_FX.CON,CISS.D.U2.Z0Z.4F.EC.SS_MM.CON,CISS.D.US.Z0Z.4F.EC.SS_CI.IDX,CISS.M.AT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.BE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.CZ.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DK.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.ES.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FI.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GB.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.HU.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.NL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.SE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_EW.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_GDPW.IDX
2013-04-30,,,,,,,,,0.0947,0.1264,0.0838,0.0493,0.1065,0.5298,0.0592,0.1324,0.0394,0.6902,0.0973,0.3282,0.6190,0.0489,0.0405,0.4960,0.1736,0.2885,0.2540
2013-04-26,0.0313,0.0949,-0.1922,0.0748,0.1181,0.0255,0.0374,0.0323,,,,,,,,,,,,,,,,,,,
2013-04-19,0.0416,0.1207,-0.2503,0.0934,0.1356,0.0648,0.0355,0.0818,,,,,,,,,,,,,,,,,,,
2013-04-12,0.0524,0.1161,-0.2247,0.0792,0.1369,0.0379,0.0343,0.0443,,,,,,,,,,,,,,,,,,,
2013-04-05,0.0502,0.1216,-0.2429,0.0893,0.1426,0.0435,0.0389,0.0628,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,0.0944,0.1182,0.1870,0.0463,0.1197,0.5809,0.0535,0.1567,0.0499,0.7099,0.0950,0.3182,0.7195,0.0626,0.0483,0.5404,0.1611,0.3092,0.2833
2013-03-29,0.0420,0.0997,-0.2016,0.0566,0.1280,0.0364,0.0383,0.0261,,,,,,,,,,,,,,,,,,,
2013-03-22,0.0485,0.1231,-0.2517,0.0677,0.1449,0.0774,0.0362,0.0520,,,,,,,,,,,,,,,,,,,
2013-03-15,0.0248,0.0696,-0.1265,0.0338,0.0915,0.0315,0.0146,0.0228,,,,,,,,,,,,,,,,,,,
2013-03-08,0.0386,0.1115,-0.2129,0.0634,0.1252,0.0539,0.0433,0.0386,,,,,,,,,,,,,,,,,,,
2013-03-01,0.0553,0.1294,-0.2470,0.0705,0.1384,0.0702,0.0420,0.0672,,,,,,,,,,,,,,,,,,,
2013-02-28,,,,,,,,,0.0963,0.1233,0.1944,0.0503,0.1415,0.6089,0.0589,0.1467,0.0477,0.6885,0.1018,0.3367,0.6688,0.0670,0.0466,0.5773,0.1514,0.3112,0.2776
2013-02-22,0.0454,0.1110,-0.2087,0.0689,0.1141,0.0459,0.0453,0.0465,,,,,,,,,,,,,,,,,,,
2013-02-15,0.0359,0.0923,-0.1758,0.0426,0.1133,0.0483,0.0279,0.0353,,,,,,,,,,,,,,,,,,,
2013-02-08,0.0356,0.1213,-0.2285,0.0745,0.1345,0.0806,0.0245,0.0445,,,,,,,,,,,,,,,,,,,
2013-02-01,0.0450,0.1377,-0.2156,0.0669,0.1362,0.0552,0.0501,0.0343,,,,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,0.1045,0.1232,0.2138,0.0482,0.1621,0.6130,0.0686,0.1516,0.0544,0.7334,0.1006,0.3611,0.6169,0.0595,0.0806,0.7072,0.1478,0.3261,0.2734
2013-01-25,0.0384,0.1093,-0.1681,0.0512,0.1134,0.0402,0.0342,0.0420,,,,,,,,,,,,,,,,,,,
2013-01-18,0.0427,0.1213,-0.1979,0.0555,0.1171,0.0597,0.0441,0.0319,,,,,,,,,,,,,,,,,,,
2013-01-11,0.0414,0.1243,-0.2040,0.0612,0.1341,0.0626,0.0290,0.0391,,,,,,,,,,,,,,,,,,,
2013-01-04,0.0453,0.1220,-0.1493,0.0735,0.0802,0.0349,0.0373,0.0849,,,,,,,,,,,,,,,,,,,
2012-12-31,,,,,,,,,0.1226,0.1466,0.2253,0.0512,0.1771,0.6387,0.0731,0.1841,0.0604,0.8033,0.1158,0.4363,0.7079,0.0691,0.0574,0.6876,0.1491,0.3564,0.3049
2012-12-28,0.0209,0.0614,-0.0781,0.0244,0.0558,0.0186,0.0198,0.0295,,,,,,,,,,,,,,,,,,,
2012-12-21,0.0275,0.0999,-0.0961,0.0305,0.0911,0.0142,0.0326,0.0755,,,,,,,,,,,,,,,,,,,
2012-12-14,0.0307,0.1237,-0.1389,0.0402,0.1208,0.0323,0.0387,0.0397,,,,,,,,,,,,,,,,,,,
2012-12-07,0.0388,0.1246,-0.1207,0.0336,0.1093,0.0256,0.0380,0.0409,,,,,,,,,,,,,,,,,,,
2012-11-30,,,,,,,,,0.1360,0.1412,0.2616,0.0661,0.2364,0.7098,0.1117,0.2191,0.0726,0.7952,0.1124,0.3973,0.6934,0.0784,0.0518,0.7703,0.1653,0.3744,0.3242
2012-11-30,0.0255,0.1370,-0.0769,0.0394,0.1043,0.0087,0.0359,0.0314,,,,,,,,,,,,,,,,,,,
2012-11-23,0.0298,0.1566,-0.1313,0.0729,0.1109,0.0356,0.0387,0.0658,,,,,,,,,,,,,,,,,,,
2012-11-16,0.0187,0.1614,-0.1050,0.0579,0.1271,0.0266,0.0361,0.0494,,,,,,,,,,,,,,,,,,,
2012-11-09,0.0327,0.1818,-0.0929,0.0690,0.1200,0.0193,0.0337,0.0814,,,,,,,,,,,,,,,,,,,
2012-11-02,0.0260,0.1825,-0.0760,0.0737,0.1055,0.0140,0.0393,0.0387,,,,,,,,,,,,,,,,,,,
2012-10-31,,,,,,,,,0.1627,0.1557,0.2534,0.0749,0.2313,0.8234,0.1089,0.2278,0.1003,0.8162,0.1482,0.4572,0.7499,0.1043,0.0699,0.7452,0.2022,0.4024,0.3552
2012-10-26,0.0410,0.2296,-0.1467,0.0974,0.1487,0.0461,0.0432,0.0534,,,,,,,,,,,,,,,,,,,
2012-10-19,0.0482,0.2533,-0.1311,0.1012,0.1512,0.0353,0.0485,0.0803,,,,,,,,,,,,,,,,,,,
2012-10-12,0.0270,0.2065,-0.1103,0.0961,0.1202,0.0335,0.0400,0.0390,,,,,,,,,,,,,,,,,,,
2012-10-05,0.0393,0.2257,-0.1096,0.0911,0.1217,0.0334,0.0500,0.0622,,,,,,,,,,,,,,,,,,,
2012-09-30,,,,,,,,,0.2041,0.2062,0.3094,0.0903,0.2579,0.8953,0.1478,0.2528,0.1348,0.8280,0.1307,0.5598,0.8196,0.1342,0.0486,0.8010,0.2589,0.4490,0.3944
2012-09-28,0.0449,0.2663,-0.0788,0.1033,0.1351,0.0144,0.0474,0.0802,,,,,,,,,,,,,,,,,,,
2012-09-21,0.0326,0.2487,-0.0918,0.0814,0.1444,0.0272,0.0549,0.0476,,,,,,,,,,,,,,,,,,,
2012-09-14,0.0577,0.2832,-0.1615,0.0909,0.1638,0.0727,0.0596,0.1115,,,,,,,,,,,,,,,,,,,
2012-09-07,0.0488,0.2720,-0.1063,0.0857,0.1581,0.0354,0.0503,0.0837,,,,,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,,0.1807,0.2181,0.2926,0.1240,0.3927,0.9208,0.2010,0.2638,0.2007,0.8155,0.1524,0.5078,0.8381,0.1412,0.0703,0.7972,0.3159,0.4553,0.4123
2012-08-31,0.0283,0.2619,-0.0574,0.0915,0.1401,0.0113,0.0481,0.0529,,,,,,,,,,,,,,,,,,,
2012-08-24,0.0561,0.3252,-0.0970,0.1011,0.1633,0.0333,0.0685,0.0722,,,,,,,,,,,,,,,,,,,
2012-08-17,0.0508,0.2917,-0.0693,0.0802,0.1531,0.0210,0.0559,0.0628,,,,,,,,,,,,,,,,,,,
2012-08-10,0.0588,0.3192,-0.0810,0.0976,0.1532,0.0292,0.0613,0.0515,,,,,,,,,,,,,,,,,,,
2012-08-03,0.0863,0.4440,-0.1701,0.1411,0.2070,0.0939,0.0857,0.1320,,,,,,,,,,,,,,,,,,,
2012-07-31,,,,,,,,,0.2836,0.4043,0.2249,0.1959,0.3849,0.9593,0.1349,0.3710,0.1498,0.8671,0.2300,0.5871,0.9077,0.1688,0.1282,0.7909,0.3832,0.5155,0.4855
2012-07-27,0.0858,0.4300,-0.1752,0.1448,0.2104,0.0825,0.0817,0.1261,,,,,,,,,,,,,,,,,,,
2012-07-20,0.0660,0.3791,-0.1139,0.1296,0.1885,0.0345,0.0745,0.0891,,,,,,,,,,,,,,,,,,,
2012-07-13,0.0659,0.3815,-0.1162,0.1213,0.1888,0.0370,0.0846,0.0880,,,,,,,,,,,,,,,,,,,
2012-07-06,0.0828,0.3992,-0.1772,0.1101,0.1989,0.0907,0.0938,0.1064,,,,,,,,,,,,,,,,,,,
2012-06-30,,,,,,,,,0.3199,0.3228,0.2356,0.1689,0.3732,0.9514,0.1667,0.3511,0.1586,0.8853,0.2740,0.6979,0.9081,0.1836,0.0734,0.8398,0.4707,0.5269,0.4758
2012-06-29,0.0924,0.4198,-0.1901,0.1514,0.2114,0.0862,0.0686,0.1612,,,,,,,,,,,,,,,,,,,
2012-06-22,0.0862,0.3725,-0.1623,0.1166,0.2004,0.0602,0.0714,0.1323,,,,,,,,,,,,,,,,,,,
2012-06-15,0.0794,0.3317,-0.1496,0.0940,0.1901,0.0559,0.0620,0.1094,,,,,,,,,,,,,,,,,,,
2012-06-08,0.0929,0.3973,-0.1682,0.1435,0.2083,0.0592,0.0616,0.1523,,,,,,,,,,,,,,,,,,,
2012-06-01,0.0977,0.4284,-0.1834,0.1551,0.2211,0.0619,0.0759,0.1339,,,,,,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,0.3428,0.3939,0.1580,0.1141,0.3330,0.8589,0.1383,0.3393,0.1176,0.8706,0.2921,0.6540,0.8798,0.1982,0.0354,0.8568,0.4207,0.5133,0.4455
2012-05-25,0.0701,0.2992,-0.1527,0.1271,0.1374,0.0519,0.0654,0.0970,,,,,,,,,,,,,,,,,,,
2012-05-18,0.0761,0.3731,-0.2057,0.1446,0.2104,0.0768,0.0709,0.1160,,,,,,,,,,,,,,,,,,,
2012-05-11,0.0599,0.3370,-0.1197,0.1222,0.1861,0.0270,0.0613,0.0668,,,,,,,,,,,,,,,,,,,
2012-05-04,0.0680,0.3488,-0.1257,0.1187,0.1883,0.0310,0.0685,0.0775,,,,,,,,,,,,,,,,,,,
2012-04-30,,,,,,,,,0.3196,0.4282,0.1444,0.1006,0.3472,0.8627,0.1231,0.3062,0.1077,0.8442,0.2992,0.5942,0.8545,0.1950,0.0720,0.8806,0.4645,0.5008,0.4293
2012-04-27,0.0806,0.3896,-0.1455,0.1495,0.1969,0.0366,0.0714,0.0895,,,,,,,,,,,,,,,,,,,
2012-04-20,0.0588,0.3579,-0.1285,0.1312,0.1910,0.0318,0.0736,0.0870,,,,,,,,,,,,,,,,,,,
2012-04-13,0.0725,0.3531,-0.1293,0.1267,0.1771,0.0360,0.0702,0.1069,,,,,,,,,,,,,,,,,,,
2012-04-06,0.0527,0.3121,-0.1328,0.0947,0.1777,0.0544,0.0656,0.1097,,,,,,,,,,,,,,,,,,,
2012-03-31,,,,,,,,,0.3240,0.4337,0.1850,0.1221,0.3821,0.7533,0.2265,0.3261,0.1251,0.8527,0.3339,0.6215,0.7972,0.1982,0.0553,0.8736,0.4530,0.5026,0.4207
2012-03-30,0.0695,0.3362,-0.1173,0.0951,0.1756,0.0365,0.0767,0.0831,,,,,,,,,,,,,,,,,,,
2012-03-23,0.0628,0.3036,-0.0896,0.0662,0.1575,0.0259,0.0809,0.0884,,,,,,,,,,,,,,,,,,,
2012-03-16,0.0779,0.3653,-0.1170,0.0871,0.1781,0.0504,0.0889,0.1118,,,,,,,,,,,,,,,,,,,
2012-03-09,0.0525,0.3864,-0.1393,0.1318,0.1865,0.0650,0.0898,0.1401,,,,,,,,,,,,,,,,,,,
2012-03-02,0.0668,0.3404,-0.1119,0.0881,0.1608,0.0494,0.0871,0.1035,,,,,,,,,,,,,,,,,,,
2012-02-29,,,,,,,,,0.3681,0.5451,0.1436,0.1404,0.4139,0.7592,0.2118,0.3328,0.1641,0.9750,0.4765,0.7093,0.8461,0.2128,0.0357,0.9092,0.4567,0.5464,0.4481
2012-02-24,0.0722,0.4007,-0.1473,0.1111,0.1967,0.0805,0.0876,0.0820,,,,,,,,,,,,,,,,,,,
2012-02-17,0.0657,0.3174,-0.0851,0.0625,0.1674,0.0330,0.0739,0.1084,,,,,,,,,,,,,,,,,,,
2012-02-10,0.0806,0.3739,-0.1091,0.0656,0.1867,0.0623,0.0878,0.0976,,,,,,,,,,,,,,,,,,,
2012-02-03,0.0831,0.4227,-0.1064,0.1078,0.1951,0.0518,0.0913,0.1284,,,,,,,,,,,,,,,,,,,
2012-01-31,,,,,,,,,0.5398,0.7862,0.2849,0.1719,0.4243,0.8363,0.2236,0.4249,0.1306,0.9710,0.4844,0.8098,0.9088,0.2894,0.0572,0.9402,0.5083,0.6274,0.5184
2012-01-27,0.0919,0.4370,-0.1232,0.0918,0.2047,0.0739,0.0979,0.1169,,,,,,,,,,,,,,,,,,,
2012-01-20,0.0936,0.4630,-0.1334,0.1025,0.2171,0.0811,0.1021,0.1182,,,,,,,,,,,,,,,,,,,
2012-01-13,0.0868,0.4677,-0.1387,0.1130,0.2214,0.0819,0.1033,0.1399,,,,,,,,,,,,,,,,,,,
2012-01-06,0.0956,0.5262,-0.1452,0.1521,0.2338,0.0754,0.1146,0.1573,,,,,,,,,,,,,,,,,,,
2011-12-31,,,,,,,,,0.4160,0.7540,0.4078,0.2198,0.5750,0.8750,0.2091,0.3988,0.1615,0.9839,0.4389,0.8362,0.8822,0.3793,0.0808,0.8984,0.5319,0.6230,0.5264
2011-12-30,0.0827,0.4162,-0.1070,0.1107,0.1846,0.0469,0.0982,0.1401,,,,,,,,,,,,,,,,,,,
2011-12-23,0.0685,0.4007,-0.0641,0.1195,0.1804,0.0177,0.0787,0.2151,,,,,,,,,,,,,,,,,,,
2011-12-16,0.1052,0.5002,-0.1249,0.1263,0.2207,0.0773,0.0957,0.2178,,,,,,,,,,,,,,,,,,,
2011-12-09,0.0962,0.4534,-0.0663,0.1128,0.1994,0.0157,0.0956,0.1991,,,,,,,,,,,,,,,,,,,
2011-12-02,0.1022,0.5181,-0.0816,0.1462,0.2223,0.0441,0.0849,0.2351,,,,,,,,,,,,,,,,,,,
2011-11-30,,,,,,,,,0.4549,0.7125,0.3397,0.2861,0.6101,0.8512,0.2313,0.3629,0.1822,0.9849,0.4275,0.7879,0.9186,0.4569,0.0703,0.9285,0.6810,0.6341,0.5461
2011-11-25,0.1017,0.5483,-0.0899,0.1642,0.2271,0.0603,0.0849,0.2327,,,,,,,,,,,,,,,,,,,
2011-11-18,0.0888,0.4851,-0.0798,0.1458,0.2012,0.0466,0.0826,0.1866,,,,,,,,,,,,,,,,,,,
2011-11-11,0.1072,0.5743,-0.1080,0.1702,0.2093,0.0938,0.1017,0.2462,,,,,,,,,,,,,,,,,,,
2011-11-04,0.1199,0.6563,-0.1360,0.1908,0.2521,0.1050,0.1245,0.3329,,,,,,,,,,,,,,,,,,,
2011-10-31,,,,,,,,,0.2730,0.5910,0.1828,0.3210,0.5578,0.7349,0.2519,0.2419,0.2075,0.9642,0.3103,0.8525,0.8180,0.4593,0.1077,0.9048,0.6621,0.5830,0.4899
2011-10-28,0.1001,0.5404,-0.1131,0.1650,0.2288,0.0754,0.0843,0.2715,,,,,,,,,,,,,,,,,,,
2011-10-21,0.1058,0.5143,-0.1032,0.1607,0.2231,0.0421,0.0859,0.2441,,,,,,,,,,,,,,,,,,,
2011-10-14,0.1227,0.6264,-0.1377,0.1840,0.2506,0.1139,0.0928,0.2822,,,,,,,,,,,,,,,,,,,
2011-10-07,0.1283,0.6113,-0.1617,0.1931,0.2286,0.1234,0.0998,0.2789,,,,,,,,,,,,,,,,,,,
2011-09-30,,,,,,,,,0.2617,0.5005,0.1975,0.3470,0.5702,0.7042,0.2032,0.2008,0.2156,0.9870,0.2524,0.8827,0.8022,0.3817,0.1162,0.9567,0.6561,0.5662,0.4746
2011-09-30,0.1247,0.5771,-0.1693,0.1885,0.2447,0.0918,0.0966,0.2709,,,,,,,,,,,,,,,,,,,
2011-09-23,0.1214,0.5542,-0.1764,0.1903,0.2479,0.0928,0.0783,0.2639,,,,,,,,,,,,,,,,,,,
2011-09-16,0.1226,0.5287,-0.1937,0.1876,0.2464,0.0777,0.0881,0.1909,,,,,,,,,,,,,,,,,,,
2011-09-09,0.1209,0.5270,-0.2002,0.1890,0.2416,0.1170,0.0587,0.2239,,,,,,,,,,,,,,,,,,,
2011-09-02,0.1029,0.4053,-0.1445,0.1573,0.1971,0.0530,0.0394,0.2158,,,,,,,,,,,,,,,,,,,
2011-08-31,,,,,,,,,0.2366,0.3799,0.1876,0.2777,0.5592,0.6376,0.1712,0.2109,0.1535,0.9563,0.1914,0.9244,0.7125,0.3442,0.0752,0.9531,0.5734,0.5277,0.4255
2011-08-26,0.0861,0.4052,-0.1500,0.1486,0.2119,0.0409,0.0679,0.1788,,,,,,,,,,,,,,,,,,,
2011-08-19,0.1113,0.4815,-0.1811,0.1700,0.2271,0.0878,0.0664,0.1957,,,,,,,,,,,,,,,,,,,
2011-08-12,0.1147,0.5133,-0.2362,0.1829,0.2437,0.1097,0.0986,0.1819,,,,,,,,,,,,,,,,,,,
2011-08-05,0.1041,0.4211,-0.2547,0.1732,0.2232,0.0907,0.0845,0.2027,,,,,,,,,,,,,,,,,,,
2011-07-31,,,,,,,,,0.1730,0.2547,0.1577,0.2775,0.4997,0.8274,0.1663,0.1029,0.1662,0.9556,0.0966,0.9780,0.7496,0.2604,0.0665,0.9706,0.4194,0.5196,0.4189
2011-07-29,0.0896,0.3064,-0.1997,0.1182,0.1888,0.0638,0.0457,0.1024,,,,,,,,,,,,,,,,,,,
2011-07-22,0.0901,0.3124,-0.2133,0.1374,0.1927,0.0597,0.0457,0.0956,,,,,,,,,,,,,,,,,,,
2011-07-15,0.0943,0.3380,-0.2557,0.1439,0.2028,0.0941,0.0586,0.1058,,,,,,,,,,,,,,,,,,,
2011-07-08,0.0783,0.2759,-0.2537,0.1118,0.1867,0.0813,0.0714,0.0913,,,,,,,,,,,,,,,,,,,
2011-07-01,0.0754,0.2385,-0.2659,0.1170,0.1808,0.0596,0.0716,0.1097,,,,,,,,,,,,,,,,,,,
2011-06-30,,,,,,,,,0.1330,0.2062,0.1376,0.1306,0.4415,0.6678,0.0974,0.1238,0.1386,0.9642,0.1118,0.9332,0.5176,0.2006,0.0437,0.9460,0.2647,0.4473,0.3137
2011-06-24,0.0648,0.1852,-0.2384,0.1048,0.1589,0.0446,0.0506,0.0750,,,,,,,,,,,,,,,,,,,
2011-06-17,0.0674,0.2006,-0.2693,0.1055,0.1673,0.0718,0.0579,0.1235,,,,,,,,,,,,,,,,,,,
2011-06-10,0.0572,0.1726,-0.2615,0.1037,0.1624,0.0640,0.0467,0.0779,,,,,,,,,,,,,,,,,,,
2011-06-03,0.0561,0.1809,-0.2537,0.0887,0.1630,0.0872,0.0396,0.0953,,,,,,,,,,,,,,,,,,,
2011-05-31,,,,,,,,,0.1958,0.2527,0.1355,0.1037,0.3673,0.5951,0.1557,0.1245,0.1375,0.9519,0.1163,0.9349,0.3547,0.2143,0.0296,0.9427,0.2194,0.4387,0.2749
2011-05-27,0.0566,0.1509,-0.1919,0.0624,0.1444,0.0481,0.0313,0.0689,,,,,,,,,,,,,,,,,,,
2011-05-20,0.0374,0.1414,-0.1729,0.0569,0.1308,0.0579,0.0313,0.0609,,,,,,,,,,,,,,,,,,,
2011-05-13,0.0460,0.1802,-0.1759,0.0435,0.1349,0.0732,0.0585,0.0862,,,,,,,,,,,,,,,,,,,
2011-05-06,0.0625,0.2050,-0.2304,0.0764,0.1557,0.0904,0.0504,0.0716,,,,,,,,,,,,,,,,,,,
2011-04-30,,,,,,,,,0.1968,0.2742,0.1480,0.0996,0.3962,0.6414,0.1643,0.1502,0.1833,0.9366,0.1305,0.9453,0.3467,0.2017,0.0286,0.9315,0.1928,0.4444,0.2828
2011-04-29,0.0460,0.1454,-0.1607,0.0471,0.1135,0.0438,0.0557,0.0618,,,,,,,,,,,,,,,,,,,
2011-04-22,0.0644,0.2168,-0.2720,0.1089,0.1741,0.0902,0.0511,0.0766,,,,,,,,,,,,,,,,,,,
2011-04-15,0.0459,0.1530,-0.2066,0.0766,0.1435,0.0342,0.0594,0.0547,,,,,,,,,,,,,,,,,,,
2011-04-08,0.0466,0.1910,-0.2023,0.0565,0.1522,0.0700,0.0680,0.0753,,,,,,,,,,,,,,,,,,,
2011-04-01,0.0480,0.1745,-0.2296,0.0854,0.1556,0.0383,0.0767,0.0644,,,,,,,,,,,,,,,,,,,
2011-03-31,,,,,,,,,0.2122,0.3707,0.1837,0.1216,0.4407,0.5632,0.2430,0.1821,0.1795,0.9194,0.1675,0.9002,0.4127,0.2063,0.0267,0.8571,0.1869,0.4535,0.3023
2011-03-25,0.0677,0.2088,-0.2891,0.1118,0.1693,0.0721,0.0769,0.0697,,,,,,,,,,,,,,,,,,,
2011-03-18,0.0734,0.2026,-0.3091,0.1250,0.1819,0.0856,0.0460,0.1515,,,,,,,,,,,,,,,,,,,
2011-03-11,0.0380,0.1311,-0.1657,0.0465,0.1301,0.0310,0.0511,0.1006,,,,,,,,,,,,,,,,,,,
2011-03-04,0.0495,0.1704,-0.2193,0.0601,0.1478,0.0519,0.0804,0.0908,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,,,,,,0.2180,0.3684,0.2227,0.0992,0.4114,0.6097,0.2183,0.1638,0.1582,0.8750,0.1998,0.8546,0.4278,0.1752,0.0311,0.7979,0.1584,0.4371,0.2943
2011-02-25,0.0425,0.1384,-0.2067,0.0701,0.1360,0.0356,0.0608,0.0916,,,,,,,,,,,,,,,,,,,
2011-02-18,0.0438,0.1671,-0.1405,0.0293,0.1328,0.0438,0.0580,0.0286,,,,,,,,,,,,,,,,,,,
2011-02-11,0.0313,0.1350,-0.1463,0.0418,0.1159,0.0396,0.0527,0.0811,,,,,,,,,,,,,,,,,,,
2011-02-04,0.0517,0.1615,-0.1723,0.0569,0.1254,0.0585,0.0413,0.1109,,,,,,,,,,,,,,,,,,,
2011-01-31,,,,,,,,,0.2423,0.4502,0.2106,0.1244,0.4671,0.7446,0.2289,0.1715,0.1542,0.8750,0.2167,0.8725,0.5582,0.1739,0.0521,0.8389,0.0954,0.4800,0.3462
2011-01-28,0.0509,0.1786,-0.1648,0.0510,0.1459,0.0497,0.0459,0.0982,,,,,,,,,,,,,,,,,,,
2011-01-21,0.0561,0.2104,-0.1736,0.0503,0.1573,0.0726,0.0476,0.1349,,,,,,,,,,,,,,,,,,,
2011-01-14,0.0642,0.2189,-0.1849,0.0625,0.1677,0.0695,0.0399,0.1029,,,,,,,,,,,,,,,,,,,
2011-01-07,0.0530,0.2115,-0.1485,0.0448,0.1535,0.0741,0.0346,0.1543,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,0.2322,0.3738,0.2005,0.1513,0.4251,0.6609,0.2246,0.2344,0.1528,0.7787,0.2319,0.8930,0.5413,0.1675,0.0685,0.7626,0.1237,0.4564,0.3480
2010-12-31,0.0654,0.1815,-0.1394,0.0488,0.1130,0.0463,0.0474,0.0843,,,,,,,,,,,,,,,,,,,
2010-12-24,0.0488,0.1706,-0.1076,0.0394,0.1221,0.0157,0.0522,0.0863,,,,,,,,,,,,,,,,,,,
2010-12-17,0.0605,0.2384,-0.1279,0.0457,0.1541,0.0569,0.0491,0.1149,,,,,,,,,,,,,,,,,,,
2010-12-10,0.0690,0.2430,-0.1205,0.0455,0.1604,0.0400,0.0486,0.1308,,,,,,,,,,,,,,,,,,,
2010-12-03,0.0910,0.3594,-0.2084,0.1082,0.1945,0.1065,0.0675,0.2451,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,0.2010,0.3538,0.1917,0.1661,0.3718,0.6498,0.2157,0.1879,0.1935,0.9123,0.2705,0.9279,0.4930,0.1567,0.0526,0.8759,0.1284,0.4673,0.3359
2010-11-26,0.0779,0.3069,-0.1724,0.0748,0.1791,0.0764,0.0710,0.2139,,,,,,,,,,,,,,,,,,,
2010-11-19,0.0703,0.2649,-0.1573,0.0730,0.1624,0.0539,0.0626,0.1815,,,,,,,,,,,,,,,,,,,
2010-11-12,0.0618,0.2557,-0.1220,0.0451,0.1564,0.0673,0.0470,0.2002,,,,,,,,,,,,,,,,,,,
2010-11-05,0.0613,0.2710,-0.1210,0.0428,0.1555,0.0787,0.0536,0.1888,,,,,,,,,,,,,,,,,,,
2010-10-31,,,,,,,,,0.1983,0.3819,0.2154,0.1312,0.3289,0.4476,0.1980,0.1712,0.1802,0.8859,0.2799,0.8698,0.3811,0.1287,0.0586,0.8582,0.1364,0.4229,0.2770
2010-10-29,0.0586,0.2463,-0.1056,0.0379,0.1448,0.0541,0.0565,0.1457,,,,,,,,,,,,,,,,,,,
2010-10-22,0.0588,0.3063,-0.1336,0.0659,0.1634,0.0794,0.0724,0.1925,,,,,,,,,,,,,,,,,,,
2010-10-15,0.0611,0.2825,-0.1233,0.0750,0.1527,0.0504,0.0666,0.1624,,,,,,,,,,,,,,,,,,,
2010-10-08,0.0660,0.3260,-0.1431,0.0912,0.1618,0.0770,0.0731,0.1699,,,,,,,,,,,,,,,,,,,
2010-10-01,0.0592,0.2911,-0.1369,0.0618,0.1649,0.0616,0.0806,0.1383,,,,,,,,,,,,,,,,,,,
2010-09-30,,,,,,,,,0.2192,0.4058,0.2450,0.1589,0.3607,0.5269,0.2438,0.1672,0.2029,0.8788,0.3082,0.8249,0.3891,0.1258,0.0396,0.8006,0.1597,0.4310,0.2944
2010-09-24,0.0766,0.3804,-0.1446,0.1198,0.1769,0.0949,0.0568,0.2450,,,,,,,,,,,,,,,,,,,
2010-09-17,0.0712,0.3293,-0.1397,0.0813,0.1701,0.0877,0.0588,0.2250,,,,,,,,,,,,,,,,,,,
2010-09-10,0.0693,0.3512,-0.1329,0.1161,0.1773,0.0700,0.0514,0.1903,,,,,,,,,,,,,,,,,,,
2010-09-03,0.0714,0.3486,-0.1454,0.1336,0.1483,0.0783,0.0624,0.2960,,,,,,,,,,,,,,,,,,,
2010-08-31,,,,,,,,,0.2141,0.4101,0.3459,0.0982,0.2941,0.5906,0.2157,0.1352,0.1489,0.8374,0.2891,0.7182,0.4439,0.1616,0.0862,0.6857,0.0955,0.4101,0.2836
2010-08-27,0.0635,0.3519,-0.1401,0.1324,0.1834,0.0540,0.0587,0.3143,,,,,,,,,,,,,,,,,,,
2010-08-20,0.0620,0.3215,-0.1425,0.1259,0.1551,0.0586,0.0623,0.2521,,,,,,,,,,,,,,,,,,,
