Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
11/29/1985,-0.293816798484773,-0.100462411325938,-0.258877912284198,-0.353059451202909,0.0248727523857163,0.917004924139873
12/06/1985,-0.292543234170468,-0.070431721226361,-0.249673575034836,-0.351797816796307,0.0250896421594758,0.917804802642733
12/13/1985,-0.291017238015266,-0.0554339244231715,-0.238202284584566,-0.351637159970222,0.0269678880127497,0.917365668674092
12/20/1985,-0.290266845540782,-0.055066846534518,-0.226122058146212,-0.352019773912781,0.030378128871815,0.915753849048197
12/27/1985,-0.289345870789266,-0.0542376781072738,-0.213705488993094,-0.35198740928415,0.0351901299641088,0.913063492852176
01/03/1986,-0.289231546406774,-0.0476141194548427,-0.202916698139116,-0.350711148635878,0.0412777800908553,0.909403618215536
01/10/1986,-0.288570404095041,-0.0313548282117433,-0.193681280474303,-0.347602859911403,0.0484852071670455,0.90492334392061
01/17/1986,-0.286094220838848,-0.0119428528622794,-0.186073676211915,-0.341603403222893,0.0566780624556322,0.899755110326974
01/24/1986,-0.282079065456776,-0.00417839333198003,-0.180454704244268,-0.332966674412942,0.0657384004812229,0.894036599795203
01/31/1986,-0.276535119944798,-0.0217380884074465,-0.177006288177809,-0.321791546925812,0.0755439800355742,0.887901059028836
02/07/1986,-0.269383135346534,-0.0599212965535827,-0.175034611460337,-0.308973256365603,0.0859800073104534,0.881472302778128
02/14/1986,-0.260490637048992,-0.102819818122151,-0.174061007398563,-0.294932273489889,0.0969837696190193,0.874860852373494
02/21/1986,-0.251252357636088,-0.132116320844932,-0.174189396965982,-0.28104150187003,0.108477772816553,0.868165634291514
02/28/1986,-0.24263594656873,-0.128813378605949,-0.175274513898708,-0.268400004879816,0.120406890986359,0.861473384486804
03/07/1986,-0.235907041252046,-0.0888533434854172,-0.177121266535319,-0.258403181947694,0.13277526302677,0.854859901313397
03/14/1986,-0.23190454587584,-0.0282466156832968,-0.179871872118671,-0.251620992580763,0.145580706802773,0.848393344630066
03/21/1986,-0.232255891160188,0.0310806055027304,-0.183679766593174,-0.249317613326433,0.158919179441548,0.842133986564594
03/28/1986,-0.236709509520461,0.0630902975304718,-0.188007395360861,-0.251548436879883,0.172946773339642,0.83613645894499
04/04/1986,-0.246256577172403,0.0529874961276238,-0.193116772728906,-0.258629604275189,0.187873965391857,0.830447685539065
04/11/1986,-0.258693451342257,0.00831026900521086,-0.196839031853183,-0.270181445753298,0.20399325151196,0.825116976396005
04/18/1986,-0.272130769306997,-0.0501890341891257,-0.198239461884779,-0.284747871339015,0.221642242055065,0.820182671086217
04/25/1986,-0.28525979058597,-0.100427763063114,-0.196051832510865,-0.30173305501758,0.241178956579187,0.815684144549475
05/02/1986,-0.294431549871626,-0.121839648155083,-0.188634908825414,-0.318649784505573,0.262988158109614,0.811658000524097
05/09/1986,-0.297846252872361,-0.113113547170738,-0.175588442427493,-0.333664444615114,0.287402220524711,0.808140079046125
